title,nid,type,changed,path_alias,citation,category_tid,year_tid,publication,publisher,filename_year,tid,year,tid_category,category
Staff,4849,finalist,1438981245,finalists/staff-121,"For its enterprising coverage of the many local connections to the ex-soldier and his teenage companion arrested in the sniper attacks in the Washington, D.C. region.
",205,117,"The Seattle Times
",,2003,117,2003,205,Breaking News Reporting
Edward Achorn,4850,finalist,1438981245,finalists/edward-achorn,"For his clear, tenacious call to action against government corruption in Rhode Island.
",212,117,"The Providence Journal
",,2003,117,2003,212,Commentary
Mark Holmberg,4851,finalist,1438981245,finalists/mark-holmberg,"For his thought provoking, strongly reported columns on a broad range of topics.
",212,117,"Richmond Times-Dispatch
",,2003,117,2003,212,Commentary
John King,4852,finalist,1438981245,finalists/john-king-0,"For his perceptive, passionate criticism of architecture and urban design and their impact on life in his city.
",213,117,"San Francisco Chronicle
",,2003,117,2003,213,Criticism
Nicolai Ouroussoff,4853,finalist,1438981245,finalists/nicolai-ouroussoff,"For his commanding reviews and essays on architectural development and preservation in an ever-evolving city.
",213,117,"Los Angeles Times
",,2003,117,2003,213,Criticism
Richard Greenberg,4854,finalist,1438981245,finalists/richard-greenberg-0,,218,117,"Take Me Out
",,2003,117,2003,218,Drama
Edward Albee,4855,finalist,1438981245,finalists/edward-albee-0,,218,117,"The Goat or Who is Sylvia?
",,2003,117,2003,218,Drama
Rex Babin,4856,finalist,1438981245,finalists/rex-babin,"For his arresting cartoons on a broad range of subjects, drawn with simple eye-catching imagery.
",215,117,"The Sacramento Bee
",,2003,117,2003,215,Editorial Cartooning
Clay Bennett,4857,finalist,1438981245,finalists/clay-bennett-2,"For his provocative portfolio of cartoons marked by clarity and simplicity.
",215,117,"The Christian Science Monitor
",,2003,117,2003,215,Editorial Cartooning
Robert L. Pollock,4858,finalist,1438981245,finalists/robert-l-pollock,"For his clear, compelling editorials on the Food and Drug Administration&#039;s delay in approval of new cancer drugs.
",214,117,"The Wall Street Journal
",,2003,117,2003,214,Editorial Writing
Linda Valdez,4859,finalist,1438981245,finalists/linda-valdez,"For her passionate, persuasive editorials on illegal immigrants and on the state&#039;s flawed justice of the peace courts.
",214,117,"The Arizona Republic Phoenix
",,2003,117,2003,214,Editorial Writing
"Jim Haner, John B. O'Donnell and Kimberly A. C. Wilson",4860,finalist,1438981245,finalists/jim-haner-john-b-odonnell-and-kimberly-c-wilson,"For &quot;Justice Undone,&quot; their in-depth examination of the city&#039;s disturbingly low conviction rate in murder cases.
",207,117,"The Baltimore Sun
",,2003,117,2003,207,Explanatory Reporting
Staff,4861,finalist,1438981245,finalists/staff-122,"For its painstaking explanation of chroni&#039;wasting disease among deer in Wisconsin, and the impact of the affliction on the state&#039;s citizens, communities and culture.
",207,117,"Milwaukee Journal Sentinel
",,2003,117,2003,207,Explanatory Reporting
Matt Black,4862,finalist,1438981248,finalists/matt-black,"For his striking images that documented the little known legacy of black sharecroppers who migrated to California&#039;s San Joaquin Valley during the Depression.
",217,117,"Los Angeles Times
",,2003,117,2003,217,Feature Photography
Brad Clift,4863,finalist,1438981248,finalists/brad-clift,"For &quot;Heroin Town,&quot; his dramatic pictures that spotlighted heroin addiction in a Connecticut city and helped produce positive change.
",217,117,"Hartford Courant
",,2003,117,2003,217,Feature Photography
Connie Schultz,4864,finalist,1438981248,finalists/connie-schultz,"For her moving story about a wrongfully convicted man who refused to succumb to anger or bitterness.
",211,117,"The Plain Dealer
",,2003,117,2003,211,Feature Writing
David Stabler,4865,finalist,1438981248,finalists/david-stabler,"For his sensitive, sometimes surprising chronicle of a teenage prodigy&#039;s struggle with a musical talent that proved to be both a gift and a problem.
",211,117,"The Oregonian
",,2003,117,2003,211,Feature Writing
Andrea Barrett,4866,finalist,1438981248,finalists/andrea-barrett,,219,117,"Servants of the Map: Stories
","W.W. Norton
",2003,117,2003,219,Fiction
Adam Haslett,4867,finalist,1438981248,finalists/adam-haslett,,219,117,"You Are Not a Stranger Here
","Nan A. Talese/Doubleday
",2003,117,2003,219,Fiction
Steven Pinker,4868,finalist,1438981248,finalists/steven-pinker-0,,223,117,"The Blank Slate: the Modern Denial of Human Nature
","Viking
",2003,117,2003,223,General Nonfiction
Ellen Meloy,4869,finalist,1438981248,finalists/ellen-meloy,,223,117,"The Anthropology of Turquoise: Meditations on Landscape, Art, and Spirit
","Pantheon Books
",2003,117,2003,223,General Nonfiction
Philip Dray,4870,finalist,1438981248,finalists/philip-dray,,220,117,"At the Hands of Persons Unknown: The Lynching of Black America
","Random House
",2003,117,2003,220,History
Helen Lefkowitz Horowitz,4871,finalist,1438981248,finalists/helen-lefkowitz-horowitz,,220,117,"Rereading Sex: Battles Over Sexual Knowledge and Suppression in Nineteenth Century America
","Alfred A. Knopf
",2003,117,2003,220,History
Alix M. Freedman and Steve Stecklow,4872,finalist,1438981248,finalists/alix-m-freedman-and-steve-stecklow,"For their remarkable reports revealing little-known ways that Saddam Hussein profited from the United Nations sanctions meant to punish him.
",210,117,"The Wall Street Journal
",,2003,117,2003,210,International Reporting
R.C. Longworth,4873,finalist,1438981248,finalists/rc-longworth,"For &quot;A Fraying Alliance,&quot; his perceptive series on emerging tensions between the United States and Europe.
",210,117,"Chicago Tribune
",,2003,117,2003,210,International Reporting
Alan Miller and Kevin Sack,4874,finalist,1438981248,finalists/alan-miller-and-kevin-sack,"For their revelatory and moving examination of a military aircraft, nicknamed &quot;The Widow Maker,&quot; that was linked to the deaths of 45 pilots. (Moved by the Board to the National Reporting category, where it was also entered.)
",206,117,"Los Angeles Times
",,2003,117,2003,206,Investigative Reporting
Staff,4875,finalist,1438981248,finalists/staff-123,"For its outstanding blend of investigation and evocative storytelling that showed how a footloose Algerian boy evolved into a terrorist.
",206,117,"The Seattle Times
",,2003,117,2003,206,Investigative Reporting
Steve Reich,4876,finalist,1438981248,finalists/steve-reich,"Premiered on May 31, 2002, at the Spoleto Festival USA, Charleston, S.C.
",225,117,"Three Tales
","Boosey &amp; Hawkes
",2003,117,2003,225,Music
Paul Schoenfeld,4877,finalist,1438981248,finalists/paul-schoenfeld,"Commissioned by Music of Remembrance and premiered on April 7, 2002 at MOR&#039;s Holocaust Remembrance concert, Not In Vain!, at Benaroya Hall, Seattle, Wash.
",225,117,"Camp Songs
",,2003,117,2003,225,Music
Staff,4878,finalist,1438981248,finalists/staff-124,"For its engrossing exploration of the fall of Arthur Andersen, a once proud accounting firm.
",209,117,"Chicago Tribune
",,2003,117,2003,209,National Reporting
Anne Hull,4879,finalist,1438981248,finalists/anne-hull-1,"For &quot;Rim of the New World,&quot; her masterful accounts of young immigrants coming of age in the American South.
",209,117,"The Washington Post
",,2003,117,2003,209,National Reporting
Staff,4880,finalist,1438981248,finalists/staff-125,"For its tenaciously reported and clearly written stories that exposed and explained corruption in corporate America.
",209,117,"The New York Times
",,2003,117,2003,209,National Reporting
Frank Bidart,4881,finalist,1438981248,finalists/frank-bidart-0,,224,117,"Music Like Dirt
","Sarabande Books
",2003,117,2003,224,Poetry
J.D. McClatchy,4882,finalist,1438981248,finalists/jd-mcclatchy,,224,117,"Hazmat
","Alfred A.Knopf
",2003,117,2003,224,Poetry
Staff,4883,finalist,1438981248,finalists/staff-126,"For the work of Norman Sinclair, Ronald Hansen and Melvin Claxton that revealed dangerous defects and spurred changes in a criminal justice system that allowed lawbreakers to get away with everything from petty theft to murder.
",204,117,"The Detroit News
",,2003,117,2003,204,Public Service
Staff,4884,finalist,1438981248,finalists/staff-127,"For its uncommon courage in publishing stories that exposed a culture of corruption in Escambia County, Fla., and resulted in the indictment of four of five county commissioners.
",204,117,"Pensacola (FL) News Journal
",,2003,117,2003,204,Public Service
Justin Kaplan,3912,finalist,1438981201,finalists/justin-kaplan,,222,139,"Walt Whitman: A Life
","Simon &amp; Schuster
",1981,139,1981,222,Biography
Ronald Steel,3913,finalist,1438981201,finalists/ronald-steel,,222,139,"Walter Lippmann and the American Century
","Atlanti&#039;Little
",1981,139,1981,222,Biography
Richard M. Cohen,3914,finalist,1438981201,finalists/richard-m-cohen,,212,139,"The Washington Post
",,1981,139,1981,212,Commentary
Howard Rosenberg,3915,finalist,1438981201,finalists/howard-rosenberg,,212,139,"Los Angeles Times
",,1981,139,1981,212,Commentary
Henry Kisor,3916,finalist,1438981201,finalists/henry-kisor,,213,139,"Chicago Sun-Times
",,1981,139,1981,213,Criticism
Allan Temko,3917,finalist,1438981201,finalists/allan-temko,,213,139,"San Francisco Chronicle
",,1981,139,1981,213,Criticism
Jules Feiffer,3918,finalist,1438981201,finalists/jules-feiffer,,215,139,"The Village Voice
",,1981,139,1981,215,Editorial Cartooning
Paul Szep,3919,finalist,1438981201,finalists/paul-szep-0,,215,139,"The Boston Globe
",,1981,139,1981,215,Editorial Cartooning
Jack Burby,3920,finalist,1438981201,finalists/jack-burby,,214,139,"Los Angeles Times
",,1981,139,1981,214,Editorial Writing
Kirk Scharfenberg,3921,finalist,1438981201,finalists/kirk-scharfenberg,,214,139,"The Boston Globe
",,1981,139,1981,214,Editorial Writing
Morris S. Thompson,3922,finalist,1438981201,finalists/morris-s-thompson,,214,139,"The Miami Herald
",,1981,139,1981,214,Editorial Writing
Paul Beaver,3923,finalist,1438981201,finalists/paul-beaver,"For his photographs of the Mississippi Delta Region.
",217,139,"Jackson (MS) Clarion-Ledger
",,1981,139,1981,217,Feature Photography
Michael C. Hayman,3924,finalist,1438981201,finalists/michael-c-hayman,"For his photographs of automobile workers.
",217,139,"Flint (MI) Journal
",,1981,139,1981,217,Feature Photography
Madeleine Blais,3925,finalist,1438981201,finalists/madeleine-blais,,211,139,"The Miami Herald
",,1981,139,1981,211,Feature Writing
Douglas J. Swanson,3926,finalist,1438981201,finalists/douglas-j-swanson,,211,139,"Dallas Times Herald
",,1981,139,1981,211,Feature Writing
Frederick Buechner,3927,finalist,1438981201,finalists/frederick-buechner,,219,139,"Godric
","Atheneum
",1981,139,1981,219,Fiction
William Maxwell,3928,finalist,1438981201,finalists/william-maxwell,,219,139,"So Long, See You Tomorrow
","Knopf
",1981,139,1981,219,Fiction
Marshall Frady,3929,finalist,1438981201,finalists/marshall-frady,,223,139,"Southerners: A Journalist&#039;s Odyssey
","New American Library
",1981,139,1981,223,General Nonfiction
Maxine Hong Kingston,3930,finalist,1438981201,finalists/maxine-hong-kingston,,223,139,"China Men
","Knopf
",1981,139,1981,223,General Nonfiction
William Manchester,3931,finalist,1438981201,finalists/william-manchester,,223,139,"Goodbye, Darkness: A Memoir of the Pacific War
","Little
",1981,139,1981,223,General Nonfiction
David M. Kennedy,3932,finalist,1438981201,finalists/david-m-kennedy,,220,139,"Over Here: The First World War and American Society
","Oxford
",1981,139,1981,220,History
Lyle Koehler,3933,finalist,1438981201,finalists/lyle-koehler,,220,139,"A Search for Power: The &#039;Weaker Sex&#039; in Seventeenth Century New England
","Illinois
",1981,139,1981,220,History
Richard Ben Cramer,3934,finalist,1438981201,finalists/richard-ben-cramer,"For his coverage of the Afghanistan rebellion.
",210,139,"The Philadelphia Inquirer
",,1981,139,1981,210,International Reporting
Randall Richard,3935,finalist,1438981201,finalists/randall-richard,"For his coverage of illegal drug activity in Colombia.
",210,139,"The Providence Journal-Bulletin
",,1981,139,1981,210,International Reporting
Staff,3936,finalist,1438981201,finalists/staff-8,"For &quot;The Snowball Tragedy,&quot; a story of the gap between the young and the elderly.
",266,139,"Baltimore News American
",,1981,139,1981,266,Local General or Spot News Reporting
Newsroom Staff,3937,finalist,1438981201,finalists/newsroom-staff,"For &quot;Three Days of Rage: The Miami Riots.&quot;
",266,139,"The Miami Herald
",,1981,139,1981,266,Local General or Spot News Reporting
"Richard Morin, Carl Hiaasen and Susan Sachs",3938,finalist,1438981201,finalists/richard-morin-carl-hiaasen-and-susan-sachs,"For their series &quot;Key West: Smugglers&#039; Island.&quot;
",267,139,"The Miami Herald
",,1981,139,1981,267,Local Investigative Specialized Reporting
"Pamela Zekman, Gene Mustain, Gilbert Jimenez, Norma Sosa, Larry Cose, Patricia Smith and John Whit",3939,finalist,1438981201,finalists/pamela-zekman-gene-mustain-gilbert-jimenez-norma-sosa-larry-cose-patricia-smith-and-john-whit,"For their series on accident swindlers.
",267,139,"Chicago Sun-Times
",,1981,139,1981,267,Local Investigative Specialized Reporting
Jonathan Neumann and Ted Gup,3940,finalist,1438981201,finalists/jonathan-neumann-and-ted-gup,"For their series on government contracts.
",209,139,"The Washington Post
",,1981,139,1981,209,National Reporting
"Joseph Volz, Richard Edmonds, Bob Herbert and Alton Slagle",3941,finalist,1438981201,finalists/joseph-volz-richard-edmonds-bob-herbert-and-alton-slagle,"For their series on the state of U.S. military preparedness.
",209,139,"New York Daily News
",,1981,139,1981,209,National Reporting
Donald Barlett and James B. Steele,3942,finalist,1438981201,finalists/donald-barlett-and-james-b-steele,"For their series &quot;Energy Anarchy.&quot;
",209,139,"The Philadelphia Inquirer
",,1981,139,1981,209,National Reporting
Richard Hugo,3943,finalist,1438981201,finalists/richard-hugo-0,,224,139,"The Right Madness on Skye
","Norton
",1981,139,1981,224,Poetry
Mark Strand,3944,finalist,1438981201,finalists/mark-strand,,224,139,"Selected Poems
","Atheneum
",1981,139,1981,224,Poetry
Staff,3945,finalist,1438981201,finalists/staff-9,"For its series on unnecessary deaths due to inadequate emergency room care in Los Angeles County.
",204,139,"Long Beach (CA) Independent Press-Telegram
",,1981,139,1981,204,Public Service
Staff,3946,finalist,1438981201,finalists/staff-10,"For its reporting on the national resurgence of the Ku Klux Klan.
",204,139,"The Nashville Tennessean
",,1981,139,1981,204,Public Service
David Tenenbaum,3947,finalist,1438981201,finalists/david-tenenbaum,"For his picture of the flag-draped hockey goalie Jim Craig at the 1980 Olympics.
",274,139,"Associated Press
",,1981,139,1981,274,Spot News Photography
Roger A. Werth,3948,finalist,1438981201,finalists/roger-werth,"For his photographs of Mt. St. Helens.
",274,139,"Longview (WA) Daily News
",,1981,139,1981,274,Spot News Photography
Fred Kaplan,4022,finalist,1438981206,finalists/fred-kaplan,,222,136,"Thomas Carlyle: A Biography
","Cornell University Press
",1984,136,1984,222,Biography
Kenneth Manning,4023,finalist,1438981206,finalists/kenneth-manning,,222,136,"Black Apollo of Science: the Life of Ernest Everett Just
","Oxford University Press
",1984,136,1984,222,Biography
Arnold Rosenfeld,4024,finalist,1438981206,finalists/arnold-rosenfeld,,212,136,"Dayton (Ohio) Daily News
",,1984,136,1984,212,Commentary
Dorothy Storck,4025,finalist,1438981206,finalists/dorothy-storck,,212,136,"The Philadelphia Inquirer
",,1984,136,1984,212,Commentary
Dan Cryer,4026,finalist,1438981206,finalists/dan-cryer,"For his book reviews.
",213,136,"Newsday
",,1984,136,1984,213,Criticism
Ken Tucker,4027,finalist,1438981206,finalists/ken-tucker,"For pop music criticism.
",213,136,"The Philadelphia Inquirer
",,1984,136,1984,213,Criticism
Tina Howe,4028,finalist,1438981206,finalists/tina-howe,,218,136,"Painting Churches
",,1984,136,1984,218,Drama
Sam Shepard,4029,finalist,1438981206,finalists/sam-shepard-0,,218,136,"Fool for Love
",,1984,136,1984,218,Drama
Steve Benson,4030,finalist,1438981206,finalists/steve-benson,,215,136,"The Arizona Republic
",,1984,136,1984,215,Editorial Cartooning
Don Wright,4031,finalist,1438981206,finalists/don-wright-0,,215,136,"The Miami News
",,1984,136,1984,215,Editorial Cartooning
"Ralph Bennett, Jonathan Freedman and Lynne Carrier",4032,finalist,1438981206,finalists/ralph-bennett-jonathan-freedman-and-lynne-carrier,"For their series of editorials on immigration problems and policies.
",214,136,"San Diego Tribune
",,1984,136,1984,214,Editorial Writing
Lois Wille,4033,finalist,1438981206,finalists/lois-wille,"For her series of editorials which stressed ways to make Chicago city government more economical and efficient.
",214,136,"Chicago Sun-Times
",,1984,136,1984,214,Editorial Writing
Stan Grossfeld,4034,finalist,1438981206,finalists/stan-grossfeld,"For his series of unusual photographs which reveal the effects of war on the people of Lebanon. (Moved by the Board to the Spot News Photography category.)
",217,136,"The Boston Globe
",,1984,136,1984,217,Feature Photography
David Woo,4035,finalist,1438981206,finalists/david-woo,"For his series of photographs depicting the child victims of war-torn Central America.
",217,136,"The Dallas Morning News
",,1984,136,1984,217,Feature Photography
Charles Bowden,4036,finalist,1438981206,finalists/charles-bowden,"For his stories on illegal immigrants, sexual abuse of children and the deaths of two men.
",211,136,"Tucson (AZ) Citizen
",,1984,136,1984,211,Feature Writing
Jay William Hamburg,4037,finalist,1438981206,finalists/jay-william-hamburg,"For a series documenting the world of a young boxer and his manager.
",211,136,"Birmingham (AL) Post-Herald
",,1984,136,1984,211,Feature Writing
Nancy Tracy,4038,finalist,1438981206,finalists/nancy-tracy,"For her moving account of Meg Casey, a victim of premature aging.
",211,136,"Hartford (CT) Courant
",,1984,136,1984,211,Feature Writing
Thomas Berger,4039,finalist,1438981206,finalists/thomas-berger,,219,136,"The Feud
","Delacorte
",1984,136,1984,219,Fiction
Raymond Carver,4040,finalist,1438981206,finalists/raymond-carver,,219,136,"Cathedral
","Knopf
",1984,136,1984,219,Fiction
Winston Groom and Duncan Spencer,4041,finalist,1438981206,finalists/winston-groom-and-duncan-spencer,,223,136,"Conversations With the Enemy
","Putnam
",1984,136,1984,223,General Nonfiction
Susan Jacoby,4042,finalist,1438981206,finalists/susan-jacoby,,223,136,"Wild Justice
","Harper &amp; Row
",1984,136,1984,223,General Nonfiction
David K. Shipler,4043,finalist,1438981206,finalists/david-k-shipler,"For his reporting from Israel which analyzed the mind of the nation.
",210,136,"The New York Times
",,1984,136,1984,210,International Reporting
