title,nid,type,changed,path_alias,citation,category_tid,year_tid,publication,publisher,filename_year,tid,year,tid_category,category
The Post and Courier,7224,winner,1450303686,winners/post-and-courier,"For &quot;Till Death Do Us Part,&quot; a riveting series that probed why South Carolina is among the deadliest states in the union for women and put the issue of what to do about it on the state&#039;s agenda.
",204,105,The Post and Courier,,2015,105,2015,204,Public Service
Eric Lipton,7225,winner,1450303944,winners/eric-lipton,"For reporting that showed how the influence of lobbyists can sway congressional leaders and state attorneys general, slanting justice toward the wealthy and connected.
",206,105,The New York Times,,2015,105,2015,206,Investigative Reporting
The Wall Street Journal Staff,7226,winner,1449767421,winners/wall-street-journal-staff,"For &quot;Medicare Unmasked,&quot; a pioneering project that gave Americans unprecedented access to previously confidential data on the motivations and practices of their health care providers.
",206,105,,,2015,105,2015,206,Investigative Reporting
Zachary R. Mider,7227,winner,1464030505,winners/zachary-r-mider,"For a painstaking, clear and entertaining explanation of how so many U.S. corporations dodge taxes and why lawmakers and regulators have a hard time stopping them.
",207,105,Bloomberg News,,2015,105,2015,207,Explanatory Reporting
"Rob Kuznia, Rebecca Kimitch and Frank Suraci",7228,winner,1450304055,winners/rob-kuznia-rebecca-kimitch-and-frank-suraci,"For their inquiry into widespread corruption in a small, cash-strapped school district, including impressive use of the paper&#039;s website.
",208,105,Daily Breeze,,2015,105,2015,208,Local Reporting
Carol D. Leonnig,7229,winner,1464030934,winners/carol-d-leonnig,"For her smart, persistent coverage of the Secret Service, its security lapses and the ways in which the agency neglected its vital task: the protection of the president of the United States.
",209,105,The Washington Post,,2015,105,2015,209,National Reporting
The New York Times Staff,7230,winner,1449771552,winners/new-york-times-staff,"For courageous front-line reporting and vivid human stories on Ebola in Africa, engaging the public with the scope and details of the outbreak while holding authorities accountable.
",210,105,,,2015,105,2015,210,International Reporting
Diana Marcum,7231,winner,1451873543,winners/diana-marcum,"For her dispatches from California&#039;s Central Valley offering nuanced portraits of lives affected by the state&#039;s  drought, bringing an original and empathic perspective to the story.
",211,105,Los Angeles Times,,2015,105,2015,211,Feature Writing
Mary McNamara,7232,winner,1459315746,winners/mary-mcnamara,"For savvy criticism that uses shrewdness, humor and an insider&#039;s  view to show how both subtle and seismic shifts in the cultural landscape affect television.
",213,105,Los Angeles Times,,2015,105,2015,213,Criticism
Kathleen Kingsbury,7233,winner,1451874708,winners/kathleen-kingsbury,"For taking readers on a tour of restaurant workers&#039; bank accounts to expose the real price of inexpensive menu items and the human costs of income inequality.
",214,105,The Boston Globe,,2015,105,2015,214,Editorial Writing
Photography Staff,7234,winner,1451875645,winners/photography-staff-1,"For powerful images of the despair and anger in Ferguson, MO, stunning photojournalism that served the community while informing the country.
",216,105,St. Louis Post-Dispatch,,2015,105,2015,216,Breaking News Photography
Adam Zyglis,7235,winner,1452181366,winners/adam-zyglis,"Who used strong images to connect with readers while conveying layers of meaning in a few words.
",215,105,The Buffalo News,,2015,105,2015,215,Editorial Cartooning
"Daniel Berehulak, freelance photographer",7236,winner,1494514650,winners/daniel-berehulak-freelance-photographer-0,"For his gripping, courageous photographs of the Ebola epidemic in West Africa.
",217,105,The New York Times,,2015,105,2015,217,Feature Photography
Benjamin Lawrence Reid,6282,winner,1439235150,winners/benjamin-lawrence-reid,,222,151,"The Man From New York: John Quinn and His Friends
","Oxford Univ. Press
",1969,151,1969,222,Biography
Howard Sackler,6283,winner,1439235150,winners/howard-sackler,,218,151,"The Great White Hope
",,1969,151,1969,218,Drama
John Fischetti,6284,winner,1439235150,winners/john-fischetti,"For his editorial cartooning in 1968.
",215,151,"Chicago Daily News
",,1969,151,1969,215,Editorial Cartooning
Paul Greenberg,6285,winner,1439235150,winners/paul-greenberg,"For his editorials during 1968.
",214,151,"Pine Bluff (AR) Commercial
",,1969,151,1969,214,Editorial Writing
Moneta Sleet Jr.,6286,winner,1554992971,winners/moneta-sleet-jr,"For his photograph of Martin Luther King Jr.&#039;s widow and child, taken at Dr. King&#039;s funeral.
",217,151,Ebony Magazine,,1969,151,1969,217,Feature Photography
N. Scott Momaday,6287,winner,1439235150,winners/n-scott-momaday,,219,151,"House Made of Dawn
","Harper
",1969,151,1969,219,Fiction
Norman Mailer,6288,winner,1478183839,winners/norman-mailer,,223,151,The Armies Of The Night,World,1969,151,1969,223,General Nonfiction
Rene Jules Dubos,6289,winner,1439235150,winners/rene-jules-dubos,,223,151,"So Human An Animal
","Scribner
",1969,151,1969,223,General Nonfiction
Leonard W. Levy,6290,winner,1439235150,winners/leonard-w-levy,,220,151,"Origins of the Fifth Amendment
","Oxford Univ. Press
",1969,151,1969,220,History
William Tuohy,6291,winner,1439235150,winners/william-tuohy,"For his Vietnam War correspondence in 1968.
",210,151,"Los Angeles Times
",,1969,151,1969,210,International Reporting
John Fetterman,6292,winner,1439235150,winners/john-fetterman,"For his article, &quot;Pfc. Gibson Comes Home,&quot; the story of an American soldier whose body was returned to his native town from Vietnam for burial.
",266,151,"Louisville Times and Courier-Journal
",,1969,151,1969,266,Local General or Spot News Reporting
Albert L. Delugach and Denny Walsh,6293,winner,1439235150,winners/albert-l-delugach-and-denny-walsh,"For their campaign against fraud and abuse of power within the St. Louis Steamfitters Union, Local 562.
",267,151,"St. Louis Globe-Democrat
",,1969,151,1969,267,Local Investigative Specialized Reporting
Karel Husa,6294,winner,1439235150,winners/karel-husa,"First performed at the Goodman Theater, Chicago, on October 14, 1968 by the Fine Arts Quartet.
",225,151,"String Quartet No. 3
",,1969,151,1969,225,Music
Robert Cahn,6295,winner,1439235150,winners/robert-cahn,"For his inquiry into the future of our national parks and the methods that may help to preserve them.
",209,151,"The Christian Science Monitor
",,1969,151,1969,209,National Reporting
George Oppen,6296,winner,1439235150,winners/george-oppen,,224,151,"Of Being Numerous
","New Directions
",1969,151,1969,224,Poetry
Los Angeles Times,6297,winner,1439235150,winners/los-angeles-times-1,"For its expose of wrongdoing within the Los Angeles City Government Commissions, resulting in resignations or criminal convictions of certain members, as well as widespread reforms.
",204,151,"Los Angeles Times
",,1969,151,1969,204,Public Service
Edward T. Adams,6298,winner,1439235150,winners/edward-t-adams,"For his photograph, &quot;Saigon Execution.&quot;
",274,151,"Associated Press
",,1969,151,1969,274,Spot News Photography
Deborah Blum,6725,winner,1439235175,winners/deborah-blum,"For her series, &quot;The Monkey Wars,&quot; which explored the complex ethical and moral questions surrounding primate research.
",278,128,"The Sacramento (CA) Bee
",,1992,128,1992,278,Beat Reporting
Lewis B. Puller,6726,winner,1439235175,winners/lewis-b-puller,,222,128,"Fortunate Son: The Healing of a Vietnam Vet
",,1992,128,1992,222,Biography
Anna Quindlen,6727,winner,1510758919,winners/anna-quindlen,"For her compelling columns on a wide range of personal and political topics.
",212,128,The New York Times,,1992,128,1992,212,Commentary
Robert Schenkkan,6728,winner,1439235175,winners/robert-schenkkan,,218,128,"The Kentucky Cycle
",,1992,128,1992,218,Drama
Signe Wilkinson,6729,winner,1439235175,winners/signe-wilkinson,,215,128,"The Philadelphia Daily News
",,1992,128,1992,215,Editorial Cartooning
Maria Henson,6730,winner,1439235175,winners/maria-henson,"For her editorials about battered women in Kentucky, which focused statewide attention on the problem and prompted significant reforms.
",214,128,"Lexington (KY) Herald-Leader
",,1992,128,1992,214,Editorial Writing
Robert S. Capers and Eric Lipton,6731,winner,1445361997,winners/robert-s-capers-and-eric-lipton,"For a series about the flawed Hubble Space Telescope that illustrated many of the problems plaguing America&#039;s space program.
",264,128,Hartford (CT) Courant,,1992,128,1992,264,Explanatory Journalism
John Kaplan,6732,winner,1439235175,winners/john-kaplan,"For his photographs depicting the diverse lifestyles of seven 21-year-olds across the United States.
",217,128,"Block Newspapers
",,1992,128,1992,217,Feature Photography
Howell Raines,6733,winner,1510759057,winners/howell-raines,"For &quot;Grady&#039;s Gift,&quot; an account of the author&#039;s childhood friendship with his family&#039;s black housekeeper and the lasting lessons of their relationship.
",211,128,The New York Times,,1992,128,1992,211,Feature Writing
Jane Smiley,6734,winner,1439235175,winners/jane-smiley,,219,128,"A Thousand Acres
","Alfred A. Knopf
",1992,128,1992,219,Fiction
Daniel Yergin,6735,winner,1439235175,winners/daniel-yergin,,223,128,"The Prize: The Epic Quest For Oil, Money &amp; Power
","Simon &amp; Schuster
",1992,128,1992,223,General Nonfiction
Mark E. Neely,6736,winner,1439235175,winners/mark-e-neely,,220,128,"The Fate of Liberty: Abraham Lincoln and Civil Liberties
",,1992,128,1992,220,History
Patrick J. Sloyan,6737,winner,1439235175,winners/patrick-j-sloyan,"For his reporting on the Persian Gulf War, conducted after the war was over, which revealed new details of American battlefield tactics and &quot;friendly fire&quot; incidents.
",210,128,"Newsday
",,1992,128,1992,210,International Reporting
Lorraine Adams and Dan Malone,6738,winner,1439235175,winners/lorraine-adams-and-dan-malone,"For reporting that charged Texas police with extensive misconduct and abuses of power.
",206,128,"Dallas Morning News
",,1992,128,1992,206,Investigative Reporting
Wayne Peterson,6739,winner,1439235175,winners/wayne-peterson,"Premiered on October 17, 1991, by the San Francisco Symphony.
",225,128,"The Face of the Night, The Heart of the Dark
",,1992,128,1992,225,Music
Jeff Taylor and Mike McGraw,6740,winner,1439235175,winners/jeff-taylor-and-mike-mcgraw,"For their critical examination of the U.S. Department of Agriculture.
",209,128,"Kansas City Star
",,1992,128,1992,209,National Reporting
James Tate,6741,winner,1439235175,winners/james-tate,,224,128,"Selected Poems
","Wesleyan University Press
",1992,128,1992,224,Poetry
The Sacramento (CA) Bee,6742,winner,1439235175,winners/sacramento-ca-bee-0,"For &quot;The Sierra in Peril,&quot; reporting by Tom Knudson that examined environmental threats and damage to the Sierra Nevada mountain range in California.
",204,128,"The Sacramento (CA) Bee
",,1992,128,1992,204,Public Service
Staff,6743,winner,1439235175,winners/staff-29,"For photographs of the attempted coup in Russia and the subsequent collapse of the Communist regime.
",274,128,"Associated Press
",,1992,128,1992,274,Spot News Photography
Staff,6744,winner,1439235175,winners/staff-30,"For coverage of a midnight subway derailment in Manhattan that left five passengers dead and more than 200 injured.
",275,128,"Newsday
",,1992,128,1992,275,Spot News Reporting
No award,13985,winner,1447884014,winners/no-award-7,No award,213,128,,,1992,128,1992,213,Criticism
Art Spiegelman,14067,winner,1452194740,winners/art-spiegelman,For Maus.,260,128,,,1992,128,1992,260,Special Citations and Awards
The Wall Street Journal,5660,winner,1450200735,winners/wall-street-journal,"For its creative and comprehensive probe into backdated stock options for business executives that triggered investigations, the ouster of top officials and widespread change in corporate America.
",204,113,The Wall Street Journal,,2007,113,2007,204,Public Service
Staff,5663,winner,1459315757,winners/staff,"For its skillful and tenacious coverage of a family missing in the Oregon mountains, telling the tragic story both in print and online.
",205,113,The Oregonian,,2007,113,2007,205,Breaking News Reporting
"Kenneth R. Weiss, Usha Lee McFarling, and Rick Loomis",5666,winner,1450201458,winners/kenneth-r-weiss-usha-lee-mcfarling-and-rick-loomis,"For their richly portrayed reports on the world&#039;s distressed oceans, telling the story in print and online, and stirring reaction among readers and officials.
",207,113, Los Angeles Times,,2007,113,2007,207,Explanatory Reporting
Renée C. Byer,5667,winner,1445352939,winners/renée-c-byer,"For her intimate portrayal of a single mother and her young son as he loses his battle with cancer.
",217,113,The Sacramento Bee,,2007,113,2007,217,Feature Photography
Debby Applegate,7035,winner,1444246821,winners/debby-applegate,,222,113,The Most Famous Man in America: The Biography of Henry Ward Beecher,Doubleday,2007,113,2007,222,Biography
Oded Balilty,7036,winner,1445279580,winners/oded-balilty,"For his powerful photograph of a lone Jewish woman defying Israeli security forces as they remove illegal settlers in the West Bank.
",216,113,Associated Press,,2007,113,2007,216,Breaking News Photography
Cynthia Tucker,7037,winner,1447884800,winners/cynthia-tucker,"For her courageous, clear-headed columns that evince a strong sense of morality and persuasive knowledge of the community.
",212,113,The Atlanta Journal-Constitution,,2007,113,2007,212,Commentary
Jonathan Gold,7038,winner,1450202727,winners/jonathan-gold,"For his zestful, wide ranging restaurant reviews, expressing the delight of an erudite eater.
",213,113,LA Weekly,,2007,113,2007,213,Criticism
David Lindsay-Abaire,7039,winner,1445358324,winners/david-lindsay-abaire,,218,113,Rabbit Hole,,2007,113,2007,218,Drama
Walt Handelsman,7040,winner,1452101869,winners/walt-handelsman-0,"For his stark, sophisticated cartoons and his impressive use of zany animation.
",215,113,Newsday,,2007,113,2007,215,Editorial Cartooning
"Arthur Browne, Beverly Weintraub and Heidi Evans",7041,winner,1450203091,winners/arthur-browne-beverly-weintraub-and-heidi-evans,"For their compassionate and compelling editorials on behalf of Ground Zero workers whose health problems were neglected by the city and the nation.
",214,113,New York Daily News,,2007,113,2007,214,Editorial Writing
Andrea Elliott,7042,winner,1450202370,winners/andrea-elliott,"For her intimate, richly textured portrait of an immigrant imam striving to find his way and serve his faithful in America.
",211,113,The New York Times,,2007,113,2007,211,Feature Writing
Cormac McCarthy,7043,winner,1444242035,winners/cormac-mccarthy,,219,113,The Road,Alfred A. Knopf,2007,113,2007,219,Fiction
Lawrence Wright,7044,winner,1444249464,winners/lawrence-wright,,223,113,The Looming Tower: Al-Qaeda and the Road to 9/11,Alfred A. Knopf,2007,113,2007,223,General Nonfiction
Gene Roberts and Hank Klibanoff,7045,winner,1445358438,winners/gene-roberts-and-hank-klibanoff,,220,113,"The Race Beat: The Press, the Civil Rights Struggle, and the Awakening of a Nation",Alfred A. Knopf,2007,113,2007,220,History
Staff,7046,winner,1450202283,winners/staff-64,"For its sharply edged reports on the adverse impact of China&#039;s booming capitalism on conditions ranging from inequality to pollution.
",210,113,The Wall Street Journal,,2007,113,2007,210,International Reporting
Brett Blackledge,7047,winner,1449519887,winners/brett-blackledge,"For his exposure of cronyism and corruption in the state&#039;s two-year college system, resulting in the dismissal of the chancellor and other corrective action. (Moved by the Board from the Public Service category.)
",206,113,The Birmingham (AL) News,,2007,113,2007,206,Investigative Reporting
Debbie Cenziper,7048,winner,1450201710,winners/debbie-cenziper,"For reports on waste, favoritism and lack of oversight at the Miami housing agency that resulted in dismissals, investigations and prosecutions.
",208,113,The Miami Herald,,2007,113,2007,208,Local Reporting
Ornette Coleman,7049,winner,1444250171,winners/ornette-coleman,"Recording released September 12, 2006.
",225,113,Sound Grammar,,2007,113,2007,225,Music
Charlie Savage,7050,winner,1450201980,winners/charlie-savage,"For his revelations that President Bush often used &quot;signing statements&quot; to assert his controversial right to bypass provisions of new laws.
",209,113,The Boston Globe,,2007,113,2007,209,National Reporting
Natasha Trethewey,7051,winner,1444248805,winners/natasha-trethewey,,224,113,Native Guard,Houghton Mifflin,2007,113,2007,224,Poetry
John Coltrane,7052,winner,1632411264,winners/john-coltrane,"A posthumous special citation to the composer for his masterful improvisation, supreme musicianship and iconic centrality to the history of jazz. 
",260,113,,,2007,113,2007,260,Special Citations and Awards
Ray Bradbury,7053,winner,1468966736,winners/ray-bradbury,"A special citation to Ray Bradbury  for his distinguished, prolific and deeply influential career as an unmatched author of science fiction and fantasy.
",260,113,,,2007,113,2007,260,Special Citations and Awards
Russell Blaine Nye,5957,winner,1439235131,winners/russell-blaine-nye,,222,175,"George Bancroft: Brahmin Rebel
","Knopf
",1945,175,1945,222,Biography
Harold V. (Hal) Boyle,5958,winner,1447079475,winners/harold-v-hal-boyle,"For distinguished war correspondence during the year 1944.
",263,175,Associated Press,,1945,175,1945,263,Correspondence
Mary Chase,5959,winner,1439235131,winners/mary-chase,,218,175,"Harvey
",,1945,175,1945,218,Drama
Sergeant Bill Mauldin,5960,winner,1439235134,winners/sergeant-bill-mauldin,"For distinguished service as a cartoonist, as exemplified by the cartoon entitled, &quot;Fresh, spirited American troops, flushed with victory, are bringing in thousands of hungry, ragged, battle-weary prisoners,&quot; in the series entitled, &quot;Up Front With Mauldin.&quot;
",215,175,"United Feature Syndicate, Inc.
",,1945,175,1945,215,Editorial Cartooning
George W. Potter,5961,winner,1439235134,winners/george-w-potter,"For his editorials published during the calendar year 1944, especially for his editorials on the subject of freedom of the press.
",214,175,"The Providence Journal-Bulletin
",,1945,175,1945,214,Editorial Writing
Stephen Bonsal,5962,winner,1439235134,winners/stephen-bonsal,,220,175,"Unfinished Business
","Doubleday
",1945,175,1945,220,History
Aaron Copland,5963,winner,1439235134,winners/aaron-copland,"A ballet written for and presented by Martha Graham and group, commissioned by Mrs. E. S. Coolidge, first presented at the Library of Congress, Washington, D.C. October, 1944.
",225,175,"Appalachian Spring
",,1945,175,1945,225,Music
John Hersey,5964,winner,1439235134,winners/john-hersey,,261,175,"A Bell for Adano
","Knopf
",1945,175,1945,261,Novel
Joe Rosenthal,5965,winner,1439235134,winners/joe-rosenthal,"For his photograph of the Marines planting the American flag on Mount Suribachi on Iwo Jima.
",271,175,"Associated Press
",,1945,175,1945,271,Photography
Karl Shapiro,5966,winner,1439235134,winners/karl-shapiro,,224,175,"V-Letter and Other Poems
","Reynal
",1945,175,1945,224,Poetry
Detroit Free Press,5967,winner,1439235134,winners/detroit-free-press,"For its investigation of legislative graft and corruption at Lansing, Michigan.
",204,175,"Detroit Free Press
",,1945,175,1945,204,Public Service
Jack S. McDowell,5968,winner,1439235134,winners/jack-s-mcdowell,"For his campaign to encourage blood donations.
",272,175,"San Francisco Call-Bulletin
",,1945,175,1945,272,Reporting
James B. Reston,5970,winner,1439235134,winners/james-b-reston,"For his news dispatches and interpretive articles on the Dumbarton Oaks security conference.
",,175,"The New York Times
",,1945,175,1945,,
Mark S. Watson,13929,winner,1444839818,winners/mark-s-watson,"For his distinguished reporting during the year 1944 from Washington, London and the fronts in Sicily, Italy, and France.
",276,175,"The Baltimore Sun
",,1945,175,1945,276,Telegraphic Reporting - International
James B. Reston,13930,winner,1444839818,winners/james-b-reston-0,"For his news dispatches and interpretive articles on the Dumbarton Oaks security conference.
",277,175,"The New York Times
",,1945,175,1945,277,Telegraphic Reporting - National
Cartographers of the American press,14054,winner,1452192498,winners/cartographers-american-press-0,For maps of the war fronts that have helped notably to clarify and increase public information on the progress of the Armies and Navies engaged.,260,175,,,1945,175,1945,260,Special Citations and Awards
No author named,5685,winner,1439235117,winners/no-author-named-4,"A distinguished example of American book publishing.
",,159,"American Heritage Picture History of the Civil War
",,1961,159,1961,,
David Donald,6169,winner,1439235145,winners/david-donald,,222,159,"Charles Sumner and the Coming of the Civil War
","Knopf
",1961,159,1961,222,Biography
Tad Mosel,6170,winner,1439235145,winners/tad-mosel,,218,159,"All The Way Home
",,1961,159,1961,218,Drama
Carey Orr,6171,winner,1439235145,winners/carey-orr,"For &quot;The Kindly Tiger,&quot; published on October 8, 1960.
",215,159,"Chicago Tribune
",,1961,159,1961,215,Editorial Cartooning
William J. Dorvillier,6172,winner,1439235145,winners/william-j-dorvillier,"For his editorials on clerical interference in the 1960 gubernatorial election in Puerto Rico.
",214,159,"San Juan (Puerto Rico) Star
",,1961,159,1961,214,Editorial Writing
Harper Lee,6173,winner,1439235145,winners/harper-lee,,219,159,"To Kill A Mockingbird
","Lippincott
",1961,159,1961,219,Fiction
Herbert Feis,6174,winner,1439235145,winners/herbert-feis,,220,159,"Between War and Peace: The Potsdam Conference
","Princeton Univ. Press
",1961,159,1961,220,History
Lynn Heinzerling,6175,winner,1574288656,winners/lynn-heinzerling,"For his reporting under extraordinarily difficult conditions of the early stages of the Congo crisis and his keen analysis of events in other parts of Africa.
",210,159,Associated Press,,1961,159,1961,210,International Reporting
Sanche De Gramont,6176,winner,1439235145,winners/sanche-de-gramont,"For his moving account of the death of Leonard Warren on the Metropolitan Opera stage.
",,159,"New York Herald Tribune
",,1961,159,1961,,
Edgar May,6177,winner,1439235145,winners/edgar-may,"For his series of articles on New York State&#039;s public welfare services entitled, &quot;Our Costly Dilemma,&quot; based in part on his three-month employment as a State case worker. The series brought about reforms that attracted nation-wide attention.
",,159,"Buffalo (NY) Evening News
",,1961,159,1961,,
Walter Piston,6178,winner,1439235145,winners/walter-piston-0,"First performed by the Philadelphia Orchestra on February 10, 1961, and commissioned by the Philadelphia Orchestra Association.
",225,159,"Symphony No. 7
",,1961,159,1961,225,Music
Edward R. Cony,6179,winner,1439235145,winners/edward-r-cony,"For his analysis of a timber transaction which drew the attention of the public to the problems of business ethics.
",209,159,"The Wall Street Journal
",,1961,159,1961,209,National Reporting
Yasushi Nagao,6180,winner,1439235145,winners/yasushi-nagao,"For his photograph, &quot;Tokyo Stabbing,&quot; distributed by United Press International and widely printed in American newspapers.
",271,159,"Mainichi
",,1961,159,1961,271,Photography
Phyllis McGinley,6181,winner,1439235145,winners/phyllis-mcginley,,224,159,"Times Three: Selected Verse From Three Decades
","Viking
",1961,159,1961,224,Poetry
Amarillo (TX) Globe-Times,6182,winner,1439235145,winners/amarillo-tx-globe-times,"For exposing a breakdown in local law enforcement with resultant punitive action that swept lax officials from their posts and brought about the election of a reform slate. The newspaper thus exerted its civic leadership in the finest tradition of journalism.
",204,159,"Amarillo (TX) Globe-Times
",,1961,159,1961,204,Public Service
Sanche De Gramont (Ted Morgan),13951,winner,1497034459,winners/sanche-de-gramont-ted-morgan,"For his moving account of the death of Leonard Warren on the Metropolitan Opera stage.
",268,159,New York Herald Tribune,,1961,159,1961,268,Local Reporting - Edition time
Edgar May,13952,winner,1444839818,winners/edgar-may-0,"For his series of articles on New York State&#039;s public welfare services entitled, &quot;Our Costly Dilemma,&quot; based in part on his three-month employment as a State case worker. The series brought about reforms that attracted nation-wide attention.
",269,159,"Buffalo (NY) Evening News
",,1961,159,1961,269,Local Reporting - No edition time
American Heritage Picture History of the Civil War,14062,winner,1452194368,winners/american-heritage-picture-history-civil-war,A distinguished example of American book publishing.,260,159,,,1961,159,1961,260,Special Citations and Awards
Paul Harding,7105,winner,1461595126,winners/paul-harding,"A powerful celebration of life in which a New England father and son, through suffering and joy, transcend their imprisoning lives and offer new ways of perceiving the world and mortality.
",219,110,Tinkers,Bellevue Literary Press,2010,110,2010,219,Fiction
Hank Williams,7106,winner,1444933330,winners/hank-williams,"For his craftsmanship as a songwriter who expressed universal feelings with poignant simplicity and played a pivotal role in transforming country music into a major musical and cultural force in American life.
",260,110,,,2010,110,2010,260,Special Citations and Awards
