title,nid,type,changed,path_alias,citation,category_tid,year_tid,publication,publisher,year
Doug Mills of The New York Times ,22680,winner,1746291322,node/doug-mills-new-york-times,"For a sequence of photos of the attempted assassination of then-presidential candidate Donald Trump, including one image that captures a bullet whizzing through the air as he speaks.",216,653,,,2025
Ann Telnaes of The Washington Post,22684,winner,1746290848,node/ann-telnaes-washington-post-0,"For delivering piercing commentary on powerful people and institutions with deftness, creativity – and a fearlessness that led to her departure from the news organization after 17 years.",644,653,,,2025
"Moises Saman, contributor, The New Yorker",22686,winner,1746291544,node/moises-saman-contributor-new-yorker,"For his haunting black and white images of Sednaya prison in Syria that capture the traumatic legacy of Assad’s torture chambers, forcing viewers to confront the raw horrors faced by prisoners and contemplate the scars on society. (Moved by the jury from Breaking News Photography.)",217,653,,,2025
Staff of The Washington Post,22690,winner,1746454300,node/staff-washington-post-22,"For urgent and illuminating coverage of the July 13 attempt to assassinate then-presidential candidate Donald Trump, including detailed story-telling and sharp analysis that coupled traditional police reporting with audio and visual forensics.",205,653,,,2025
Percival Everett,22691,winner,1746291948,node/percival-everett-0,"An accomplished reconsideration of ‘Huckleberry Finn’ that gives agency to Jim to illustrate the absurdity of racial supremacy and provide a new take on the search for family and freedom. 
",219,653,James,Doubleday,2025
Edda L. Fields-Black,22695,winner,1746292193,node/edda-l-fields-black,"A richly-textured and revelatory account of a slave rebellion that brought 756 enslaved people to freedom in a single day, weaving military strategy and family history with the transition from bondage to freedom.
",220,653,"Combee: Harriet Tubman, the Combahee River Raid, and Black Freedom During the Civil War",Oxford University Press,2025
Kathleen DuVal,22696,winner,1746292233,node/kathleen-duval,"A panoramic portrait of Native American nations and communities over a thousand years, a vivid and accessible account of their endurance, ingenuity and achievement in the face of conflict and dispossession.
",220,653,Native Nations: A Millennium in North America,Random House,2025
Tessa Hulls,22701,winner,1746292823,node/tessa-hulls,"An affecting work of literary art and discovery whose illustrations bring to life three generations of Chinese women –  the author, her mother and grandmother, and the experience of trauma handed down with family histories.",650,653,Feeding Ghosts: A Graphic Memoir,MCD,2025
Marie Howe,22704,winner,1746401321,node/marie-howe,"A collection drawn from decades of work that mines the day-to-day modern experience for evidence of our shared loneliness, mortality and holiness.
",224,653,New and Selected Poems,W. W. Norton &amp; Company,2025
Benjamin Nathans,22707,winner,1746293309,node/benjamin-nathans,"A prodigiously researched and revealing history of Soviet dissent, how it was repeatedly put down and came to life again, populated by a sprawling cast of courageous people dedicated to fighting for threatened freedoms and hard-earned rights.",223,653,To the Success of Our Hopeless Cause: The Many Lives of the Soviet Dissident Movement,Princeton University Press,2025
Branden Jacobs-Jenkins,22734,winner,1746293997,node/branden-jacobs-jenkins-2,"A play about the complex dynamics and legacy of an upper middle class African-American family whose patriarch was a key figure in the Civil Rights Movement, a skillful blend of drama and comedy that probes how different generations define heritage.",218,653,Purpose,,2025
Chuck Stone,22743,winner,1746303272,node/chuck-stone,"A special citation is awarded to the late Chuck Stone for his groundbreaking work as a journalist covering the Civil Rights Movement, his pioneering role as the first Black columnist at the Philadelphia Daily News–later syndicated to nearly 100 publications–and for co-founding the National Association of Black Journalists 50 years ago.",260,653,,,2025
Susie Ibarra,22744,winner,1746304285,node/susie-ibarra,"Premiered on July 18, 2024 at the Asia Society, New York, N.Y., a work about ecosystems and biodiversity, that challenges the notion of the compositional voice by interweaving the profound musicianship and improvisational skills of a soloist as a creative tool.",225,653,Sky Islands,,2025
Staff of The New Yorker,22857,winner,1746386040,node/staff-new-yorker,"For their “In the Dark” podcast, a combination of compelling storytelling and relentless reporting in the face of obstacles from the U.S. military, a four-year investigation into one of the most high-profile crimes of the Iraq War–the murder of 25 unarmed Iraqi civilians in Haditha.",631,653,,,2025
Jason Roberts,22866,winner,1746479532,node/22866,"A beautifully written double biography of Carl Linnaeus and Georges-Louis de Buffon, 18th century contemporaries who devoted their lives to identifying and describing nature’s secrets, and who continue to influence how we understand the world.",222,653,Every Living Thing: The Great and Deadly Race to Know All Life,Random House,2025
